ObjectNum,diameter,scoped,occ,DDLat,DDLong,Time,Northing,Easting,NEAR_DIST,Site,Horz_Veg,Burn
193,42,y,0,31.294638,-84.45722,6/13/2015 7:52,3467417.707,170879.407,13.28609737,1_yr_rough,0,post-burn
194,42,y,NA,31.29429,-84.456845,6/13/2015 7:55,3467377.974,170913.881,26.44650263,1_yr_rough,0,post-burn
195,43,y,0,31.294738,-84.456389,6/13/2015 6:19,3467426.239,170958.834,21.81829737,1_yr_rough,0,post-burn
196,44,y,0,31.29535,-84.455796,6/13/2015 6:23,3467492.422,171017.502,18.00129737,1_yr_rough,0.418226,post-burn
197,44,y,1,31.296532,-84.45574,6/13/2015 7:07,3467623.322,171026.949,26.09800263,1_yr_rough,0,post-burn
198,46,y,1,31.296343,-84.455916,6/13/2015 6:56,3467602.901,171009.511,23.48029737,1_yr_rough,0,post-burn
199,47,n,NA,31.296588,-84.456207,6/13/2015 7:22,3467630.913,170982.596,18.50710263,1_yr_rough,0,post-burn
200,47,y,NA,31.294028,-84.456261,6/13/2015 8:21,3467347.111,170968.575,12.69029737,1_yr_rough,0,post-burn
201,48,y,0,31.294279,-84.455581,6/13/2015 8:09,3467372.967,171034.228,31.45340263,1_yr_rough,0,post-burn
202,56,y,1,31.293779,-84.455242,6/13/2015 8:15,3467316.426,171064.808,17.99430264,1_yr_rough,0,post-burn
203,60,n,NA,31.295338,-84.456261,6/13/2015 6:21,3467492.432,170973.187,18.01169737,1_yr_rough,0,post-burn
204,62,y,1,31.296328,-84.456181,6/13/2015 6:55,3467601.972,170984.161,22.55179737,1_yr_rough,0,post-burn
205,5,y,1,31.291837,-84.462703,6/12/2015 12:19,3467123.31,170347.325,1.110602636,2_yr_rough,0,post-burn
206,6,y,0,31.293083,-84.462774,6/13/2015 5:12,3467261.779,170344.899,2.641102634,2_yr_rough,0.278397,post-burn
207,6,y,0,31.291254,-84.462644,6/12/2015 11:04,3467058.519,170350.935,4.098897364,2_yr_rough,0,post-burn
208,6,n,NA,31.290748,-84.461383,6/12/2015 10:25,3466998.564,170469.229,14.14399737,2_yr_rough,0,post-burn
209,6,y,NA,31.291818,-84.461425,6/12/2015 11:54,3467117.48,170468.966,6.940802636,2_yr_rough,0,post-burn
210,7,y,0,31.292467,-84.463598,6/12/2015 12:32,3467195.935,170264.273,1.514597362,2_yr_rough,0.139983,post-burn
